nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Serangan Jantung,TRUE,Depresi Mayor,"Aspirin, Nitrat",Gagal Jantung
Kanker Kolorektal,TRUE,"Kanker Kolorektal, Rubella","Operasi, Kemoterapi",Metastasis ke Liver
Diabetes Mellitus,TRUE,Cacar Air,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Prostat,FALSE,"Hepatitis B, Parkinson","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Anemia,TRUE,"Bronkitis, Campak, Artritis Reumatoid","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Kanker Prostat,FALSE,"Malaria, Skizofrenia, Kanker Prostat","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Hemofilia,TRUE,"Artritis Reumatoid, Kanker Kolorektal",Transfusi Faktor VIII,Pendarahan Internal
Tifus,TRUE,"Stroke, Asma","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Hemofilia,TRUE,"Migraine, Tifus, COVID-19",Transfusi Faktor VIII,Pendarahan Internal
Pneumonia,FALSE,COVID-19,"Azitromisin, Ceftriaxone",Sepsis
Gagal Ginjal,TRUE,"Hepatitis B, COVID-19","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Bipolar,TRUE,"Hemofilia, Hepatitis C, Stroke","Lithium, Antidepresan",Depresi Kronis
Diabetes Mellitus,TRUE,"Bronkitis, Kanker Paru-paru, Gagal Ginjal","Insulin, Metformin","Gagal Ginjal, Neuropati"
Cacar Air,TRUE,"Hemofilia, Malaria","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tuberkulosis,FALSE,"Influenza, Gastritis, Rubella","Rifampisin, Isoniazid",Gagal Paru
Campak,FALSE,"Anemia, Bronkitis","Vitamin A, Paracetamol",Ensefalitis
Demam Berdarah,TRUE,"Hepatitis B, Kanker Payudara","Rehidrasi, Paracetamol",Syok Dengue
Osteoporosis,TRUE,Anemia,"Kalsium, Vitamin D",Fraktur Tulang
Serangan Jantung,TRUE,"Hepatitis B, Tifus, Demam Berdarah","Aspirin, Nitrat",Gagal Jantung
Malaria,TRUE,"Tuberkulosis, Demam Berdarah, Diare Akut","Klorokuin, Artemisinin",Anemia Berat
Artritis Reumatoid,FALSE,Kanker Paru-paru,"NSAID, Metotreksat",Deformitas Sendi
Tifus,FALSE,Kanker Paru-paru,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Bipolar,FALSE,Bronkitis,"Lithium, Antidepresan",Depresi Kronis
Bipolar,FALSE,Parkinson,"Lithium, Antidepresan",Depresi Kronis
Kanker Paru-paru,FALSE,Osteoporosis,"Kemoterapi, Radioterapi",Metastasis ke Otak
Alzheimer,TRUE,"Gagal Ginjal, COVID-19, Rubella","Donepezil, Memantine",Demensia Berat
Pneumonia,FALSE,"Epilepsi, COVID-19, Hipertensi","Azitromisin, Ceftriaxone",Sepsis
Bronkitis,TRUE,"Anemia, Kanker Prostat, Cacar Air","Dextromethorphan, Amoksisilin",Pneumonia
Migraine,TRUE,"Kanker Kolorektal, Depresi Mayor","Sumatriptan, Parasetamol",Gangguan Tidur
Bronkitis,FALSE,"Epilepsi, Pneumonia, Skizofrenia","Dextromethorphan, Amoksisilin",Pneumonia
Diabetes Mellitus,TRUE,Bipolar,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Parkinson,FALSE,"Pneumonia, Malaria","Levodopa, Pramipexole",Gangguan Gerak Berat
Stroke,FALSE,"Parkinson, Kanker Paru-paru, Hepatitis C","Antikoagulan, Rehabilitasi",Kelumpuhan
COVID-19,FALSE,"Hipertensi, Hemofilia, Diare Akut","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Cacar Air,TRUE,"Malaria, Anemia, Gagal Ginjal","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
COVID-19,FALSE,"Tifus, Malaria, Migraine","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Stroke,FALSE,Kanker Paru-paru,"Antikoagulan, Rehabilitasi",Kelumpuhan
Anemia,TRUE,"Tifus, Kanker Kolorektal","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Malaria,FALSE,"Tifus, Artritis Reumatoid, Cacar Air","Klorokuin, Artemisinin",Anemia Berat
COVID-19,FALSE,"Hemofilia, Hepatitis B, Cacar Air","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tuberkulosis,TRUE,Tifus,"Rifampisin, Isoniazid",Gagal Paru
Anemia,TRUE,"Pneumonia, Osteoporosis","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Epilepsi,FALSE,Hemofilia,"Fenitoin, Valproat",Gangguan Kognitif
Stroke,FALSE,Depresi Mayor,"Antikoagulan, Rehabilitasi",Kelumpuhan
Pneumonia,TRUE,"Demam Berdarah, Epilepsi, Tuberkulosis","Azitromisin, Ceftriaxone",Sepsis
Pneumonia,FALSE,"Hepatitis B, Depresi Mayor, Diabetes Mellitus","Azitromisin, Ceftriaxone",Sepsis
Bipolar,TRUE,"Cacar Air, Tuberkulosis, Kanker Prostat","Lithium, Antidepresan",Depresi Kronis
Migraine,TRUE,"Influenza, Pneumonia","Sumatriptan, Parasetamol",Gangguan Tidur
Epilepsi,TRUE,"Tuberkulosis, Depresi Mayor, Stroke","Fenitoin, Valproat",Gangguan Kognitif
Hepatitis C,TRUE,"Hepatitis C, Hipertensi, Diare Akut","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Diare Akut,FALSE,"Kanker Prostat, Rubella, Diare Akut","Oralit, Loperamide",Dehidrasi Parah
Tuberkulosis,TRUE,"Bipolar, Gastritis, Hemofilia","Rifampisin, Isoniazid",Gagal Paru
Kanker Kolorektal,TRUE,"Hepatitis C, Hemofilia","Operasi, Kemoterapi",Metastasis ke Liver
Artritis Reumatoid,TRUE,"Demam Berdarah, Campak, Hipertensi","NSAID, Metotreksat",Deformitas Sendi
Gagal Ginjal,FALSE,"Diare Akut, Tuberkulosis, Demam Berdarah","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Prostat,FALSE,"Gagal Ginjal, Kanker Paru-paru, Gastritis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Diare Akut,FALSE,Demam Berdarah,"Oralit, Loperamide",Dehidrasi Parah
Anemia,FALSE,Anemia,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Alzheimer,TRUE,"Demam Berdarah, Anemia, Kanker Paru-paru","Donepezil, Memantine",Demensia Berat
Demam Berdarah,TRUE,"Gagal Ginjal, Kanker Prostat, Alzheimer","Rehidrasi, Paracetamol",Syok Dengue
Malaria,TRUE,"Hepatitis B, Campak","Klorokuin, Artemisinin",Anemia Berat
Kanker Payudara,TRUE,"Skizofrenia, Anemia, Campak","Kemoterapi, Mastektomi",Metastasis ke Tulang
Parkinson,TRUE,"Hepatitis B, Malaria, Pneumonia","Levodopa, Pramipexole",Gangguan Gerak Berat
Kanker Payudara,FALSE,Kanker Prostat,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Malaria,TRUE,Parkinson,"Klorokuin, Artemisinin",Anemia Berat
COVID-19,TRUE,"Kanker Paru-paru, Hepatitis B","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Malaria,FALSE,Kanker Kolorektal,"Klorokuin, Artemisinin",Anemia Berat
Hipertensi,TRUE,"Anemia, Alzheimer","Amlodipine, Captopril","Stroke, Serangan Jantung"
COVID-19,TRUE,"Hepatitis C, Diare Akut, Asma","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tuberkulosis,TRUE,Diabetes Mellitus,"Rifampisin, Isoniazid",Gagal Paru
Hepatitis C,FALSE,"Asma, Pneumonia, Artritis Reumatoid","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
COVID-19,TRUE,"Stroke, Campak, Skizofrenia","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
COVID-19,FALSE,"Alzheimer, Diabetes Mellitus, Demam Berdarah","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Artritis Reumatoid,FALSE,Rubella,"NSAID, Metotreksat",Deformitas Sendi
Tuberkulosis,FALSE,"Kanker Prostat, Diare Akut, Tuberkulosis","Rifampisin, Isoniazid",Gagal Paru
Diare Akut,TRUE,"Hipertensi, Diare Akut","Oralit, Loperamide",Dehidrasi Parah
Tuberkulosis,FALSE,"Gagal Ginjal, Hepatitis C, Osteoporosis","Rifampisin, Isoniazid",Gagal Paru
Hemofilia,TRUE,Hipertensi,Transfusi Faktor VIII,Pendarahan Internal
Gagal Ginjal,TRUE,Cacar Air,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Payudara,FALSE,Gagal Ginjal,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Demam Berdarah,FALSE,Kanker Kolorektal,"Rehidrasi, Paracetamol",Syok Dengue
Campak,FALSE,"Bronkitis, Kanker Payudara, Kanker Kolorektal","Vitamin A, Paracetamol",Ensefalitis
Hepatitis B,TRUE,"Bronkitis, Hipertensi","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Osteoporosis,TRUE,"Hepatitis C, Kanker Payudara, Malaria","Kalsium, Vitamin D",Fraktur Tulang
Kanker Kolorektal,FALSE,"Rubella, Parkinson, Gagal Ginjal","Operasi, Kemoterapi",Metastasis ke Liver
Asma,FALSE,Diabetes Mellitus,"Salbutamol, Budesonide",Gagal Napas
Rubella,TRUE,Diabetes Mellitus,"Vaksinasi, Istirahat",Cacat Janin
Tuberkulosis,TRUE,"Diare Akut, Serangan Jantung","Rifampisin, Isoniazid",Gagal Paru
Influenza,TRUE,"Alzheimer, Rubella","Oseltamivir, Paracetamol",Pneumonia
Parkinson,FALSE,Diare Akut,"Levodopa, Pramipexole",Gangguan Gerak Berat
Pneumonia,TRUE,"Demam Berdarah, Diabetes Mellitus","Azitromisin, Ceftriaxone",Sepsis
Hepatitis B,FALSE,Malaria,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Payudara,TRUE,"Diabetes Mellitus, Hemofilia","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hipertensi,FALSE,"Gastritis, Pneumonia, Demam Berdarah","Amlodipine, Captopril","Stroke, Serangan Jantung"
Hepatitis B,FALSE,"Influenza, Alzheimer","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Hepatitis B,TRUE,Serangan Jantung,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Hepatitis C,TRUE,"Bipolar, Asma","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Hepatitis B,TRUE,"Depresi Mayor, Kanker Payudara, Skizofrenia","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Gagal Ginjal,FALSE,"Hipertensi, Campak","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Gastritis,FALSE,Alzheimer,"Antasida, Omeprazole",Ulkus Lambung
Bipolar,TRUE,Bipolar,"Lithium, Antidepresan",Depresi Kronis
Hemofilia,FALSE,Tuberkulosis,Transfusi Faktor VIII,Pendarahan Internal
Cacar Air,FALSE,"Asma, Rubella, Diabetes Mellitus","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Campak,FALSE,"Serangan Jantung, Hepatitis C","Vitamin A, Paracetamol",Ensefalitis
Anemia,TRUE,Bronkitis,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Kanker Payudara,TRUE,"Kanker Paru-paru, Stroke, Pneumonia","Kemoterapi, Mastektomi",Metastasis ke Tulang
Bronkitis,TRUE,"Tuberkulosis, Kanker Payudara, Stroke","Dextromethorphan, Amoksisilin",Pneumonia
Hepatitis C,FALSE,Hepatitis C,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Artritis Reumatoid,FALSE,"Malaria, Alzheimer, Artritis Reumatoid","NSAID, Metotreksat",Deformitas Sendi
Tuberkulosis,TRUE,"Pneumonia, Malaria, Migraine","Rifampisin, Isoniazid",Gagal Paru
Kanker Prostat,FALSE,"Artritis Reumatoid, Hemofilia, Kanker Prostat","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Kanker Paru-paru,FALSE,"Malaria, Kanker Prostat, Hepatitis C","Kemoterapi, Radioterapi",Metastasis ke Otak
Osteoporosis,FALSE,Malaria,"Kalsium, Vitamin D",Fraktur Tulang
Serangan Jantung,FALSE,"Alzheimer, Gastritis, Osteoporosis","Aspirin, Nitrat",Gagal Jantung
Cacar Air,FALSE,"Pneumonia, Campak","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Bronkitis,TRUE,"Tuberkulosis, Diare Akut, Campak","Dextromethorphan, Amoksisilin",Pneumonia
Influenza,FALSE,Pneumonia,"Oseltamivir, Paracetamol",Pneumonia
Kanker Paru-paru,FALSE,"Demam Berdarah, Cacar Air, Anemia","Kemoterapi, Radioterapi",Metastasis ke Otak
Skizofrenia,FALSE,"Parkinson, Gastritis","Risperidone, Olanzapine",Disabilitas Sosial
Bipolar,FALSE,Osteoporosis,"Lithium, Antidepresan",Depresi Kronis
Asma,TRUE,"Gastritis, Depresi Mayor","Salbutamol, Budesonide",Gagal Napas
Serangan Jantung,TRUE,Bronkitis,"Aspirin, Nitrat",Gagal Jantung
Skizofrenia,FALSE,"Epilepsi, Depresi Mayor","Risperidone, Olanzapine",Disabilitas Sosial
Influenza,FALSE,"Demam Berdarah, Asma","Oseltamivir, Paracetamol",Pneumonia
Hepatitis B,TRUE,"Anemia, Gagal Ginjal, Tuberkulosis","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Malaria,TRUE,"Bipolar, Skizofrenia","Klorokuin, Artemisinin",Anemia Berat
Bipolar,TRUE,"Demam Berdarah, Stroke, Campak","Lithium, Antidepresan",Depresi Kronis
Kanker Prostat,FALSE,"Bipolar, Stroke","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Bronkitis,FALSE,Rubella,"Dextromethorphan, Amoksisilin",Pneumonia
Parkinson,TRUE,"Kanker Paru-paru, COVID-19, Malaria","Levodopa, Pramipexole",Gangguan Gerak Berat
Skizofrenia,FALSE,Bronkitis,"Risperidone, Olanzapine",Disabilitas Sosial
Bipolar,FALSE,"Hepatitis B, Tifus","Lithium, Antidepresan",Depresi Kronis
Stroke,TRUE,"Migraine, Parkinson","Antikoagulan, Rehabilitasi",Kelumpuhan
Rubella,FALSE,Hemofilia,"Vaksinasi, Istirahat",Cacat Janin
Diabetes Mellitus,TRUE,"Migraine, Campak, Tuberkulosis","Insulin, Metformin","Gagal Ginjal, Neuropati"
Malaria,FALSE,Migraine,"Klorokuin, Artemisinin",Anemia Berat
Kanker Payudara,TRUE,"Malaria, Rubella, Gagal Ginjal","Kemoterapi, Mastektomi",Metastasis ke Tulang
Skizofrenia,FALSE,"Gagal Ginjal, Rubella, Bronkitis","Risperidone, Olanzapine",Disabilitas Sosial
Kanker Payudara,FALSE,"Kanker Paru-paru, Hepatitis C","Kemoterapi, Mastektomi",Metastasis ke Tulang
Artritis Reumatoid,FALSE,Epilepsi,"NSAID, Metotreksat",Deformitas Sendi
Gastritis,FALSE,Rubella,"Antasida, Omeprazole",Ulkus Lambung
Hemofilia,FALSE,"Hemofilia, Depresi Mayor",Transfusi Faktor VIII,Pendarahan Internal
Diare Akut,FALSE,Migraine,"Oralit, Loperamide",Dehidrasi Parah
Kanker Paru-paru,TRUE,"Osteoporosis, Hipertensi","Kemoterapi, Radioterapi",Metastasis ke Otak
Cacar Air,TRUE,"Influenza, Malaria","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Gastritis,FALSE,"Anemia, Kanker Prostat, Campak","Antasida, Omeprazole",Ulkus Lambung
Anemia,TRUE,"Hemofilia, Pneumonia","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Stroke,TRUE,"Bipolar, Migraine, Cacar Air","Antikoagulan, Rehabilitasi",Kelumpuhan
Serangan Jantung,TRUE,"Hepatitis B, Migraine","Aspirin, Nitrat",Gagal Jantung
Parkinson,FALSE,"Hipertensi, Tuberkulosis","Levodopa, Pramipexole",Gangguan Gerak Berat
Gagal Ginjal,FALSE,"Demam Berdarah, Influenza","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Prostat,TRUE,Depresi Mayor,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Diabetes Mellitus,TRUE,"Kanker Paru-paru, Bronkitis","Insulin, Metformin","Gagal Ginjal, Neuropati"
Serangan Jantung,FALSE,"Hepatitis B, Bronkitis, Parkinson","Aspirin, Nitrat",Gagal Jantung
Artritis Reumatoid,FALSE,"Artritis Reumatoid, Parkinson","NSAID, Metotreksat",Deformitas Sendi
Hepatitis C,TRUE,"Rubella, Tifus, Kanker Kolorektal","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Depresi Mayor,FALSE,"Epilepsi, Hipertensi","SSRI, Psikoterapi",Bunuh Diri
Kanker Prostat,TRUE,"Kanker Paru-paru, Stroke, Tuberkulosis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Bipolar,FALSE,"Diare Akut, Pneumonia","Lithium, Antidepresan",Depresi Kronis
Hepatitis C,FALSE,"Kanker Paru-paru, Anemia","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Asma,TRUE,"Serangan Jantung, Epilepsi, Stroke","Salbutamol, Budesonide",Gagal Napas
Diare Akut,TRUE,Epilepsi,"Oralit, Loperamide",Dehidrasi Parah
Hepatitis B,TRUE,Tuberkulosis,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Osteoporosis,FALSE,Bipolar,"Kalsium, Vitamin D",Fraktur Tulang
Diare Akut,FALSE,"Serangan Jantung, Epilepsi, Cacar Air","Oralit, Loperamide",Dehidrasi Parah
Bipolar,TRUE,"Malaria, Hemofilia, Hepatitis C","Lithium, Antidepresan",Depresi Kronis
Rubella,FALSE,Campak,"Vaksinasi, Istirahat",Cacat Janin
Diabetes Mellitus,TRUE,"Demam Berdarah, Kanker Paru-paru","Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Paru-paru,TRUE,COVID-19,"Kemoterapi, Radioterapi",Metastasis ke Otak
Osteoporosis,FALSE,"Tuberkulosis, Bipolar","Kalsium, Vitamin D",Fraktur Tulang
Cacar Air,FALSE,Asma,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Rubella,TRUE,"Influenza, Bipolar","Vaksinasi, Istirahat",Cacat Janin
Kanker Paru-paru,FALSE,"Campak, Depresi Mayor","Kemoterapi, Radioterapi",Metastasis ke Otak
Hepatitis C,TRUE,"Gastritis, Osteoporosis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Epilepsi,TRUE,"Skizofrenia, Demam Berdarah, Diabetes Mellitus","Fenitoin, Valproat",Gangguan Kognitif
Epilepsi,FALSE,Stroke,"Fenitoin, Valproat",Gangguan Kognitif
Asma,FALSE,Hipertensi,"Salbutamol, Budesonide",Gagal Napas
Kanker Kolorektal,TRUE,"Rubella, Tifus, Stroke","Operasi, Kemoterapi",Metastasis ke Liver
Alzheimer,FALSE,"Tuberkulosis, Gastritis","Donepezil, Memantine",Demensia Berat
Bipolar,TRUE,Bipolar,"Lithium, Antidepresan",Depresi Kronis
Pneumonia,FALSE,"Bronkitis, Demam Berdarah","Azitromisin, Ceftriaxone",Sepsis
Kanker Payudara,FALSE,"Epilepsi, Demam Berdarah, Gagal Ginjal","Kemoterapi, Mastektomi",Metastasis ke Tulang
Asma,FALSE,"Pneumonia, Depresi Mayor, Kanker Kolorektal","Salbutamol, Budesonide",Gagal Napas
Hipertensi,FALSE,"Kanker Kolorektal, Osteoporosis, Hepatitis B","Amlodipine, Captopril","Stroke, Serangan Jantung"
Alzheimer,TRUE,"Bipolar, Migraine","Donepezil, Memantine",Demensia Berat
Anemia,TRUE,Bipolar,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Alzheimer,FALSE,COVID-19,"Donepezil, Memantine",Demensia Berat
Artritis Reumatoid,FALSE,"Cacar Air, Hepatitis C, Serangan Jantung","NSAID, Metotreksat",Deformitas Sendi
Hipertensi,FALSE,"Kanker Payudara, COVID-19, Cacar Air","Amlodipine, Captopril","Stroke, Serangan Jantung"
Kanker Kolorektal,FALSE,Diabetes Mellitus,"Operasi, Kemoterapi",Metastasis ke Liver
Hemofilia,TRUE,"Diare Akut, Epilepsi",Transfusi Faktor VIII,Pendarahan Internal
Serangan Jantung,FALSE,Anemia,"Aspirin, Nitrat",Gagal Jantung
Osteoporosis,FALSE,"Kanker Kolorektal, Epilepsi, Migraine","Kalsium, Vitamin D",Fraktur Tulang
Demam Berdarah,FALSE,COVID-19,"Rehidrasi, Paracetamol",Syok Dengue
Hepatitis C,TRUE,"Serangan Jantung, Anemia, Gastritis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Artritis Reumatoid,FALSE,Diare Akut,"NSAID, Metotreksat",Deformitas Sendi
Parkinson,TRUE,"Hepatitis B, Gagal Ginjal","Levodopa, Pramipexole",Gangguan Gerak Berat
Serangan Jantung,TRUE,"Epilepsi, Asma, Influenza","Aspirin, Nitrat",Gagal Jantung
Hepatitis C,FALSE,"Epilepsi, Tifus","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Parkinson,TRUE,Bronkitis,"Levodopa, Pramipexole",Gangguan Gerak Berat
Epilepsi,TRUE,"Campak, COVID-19","Fenitoin, Valproat",Gangguan Kognitif
Depresi Mayor,TRUE,Osteoporosis,"SSRI, Psikoterapi",Bunuh Diri
Alzheimer,TRUE,"Pneumonia, Alzheimer, Hepatitis C","Donepezil, Memantine",Demensia Berat
Pneumonia,TRUE,Osteoporosis,"Azitromisin, Ceftriaxone",Sepsis
Cacar Air,TRUE,"Kanker Payudara, Campak, Cacar Air","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Gastritis,TRUE,"Tuberkulosis, Serangan Jantung","Antasida, Omeprazole",Ulkus Lambung
Depresi Mayor,FALSE,"Asma, Depresi Mayor, Alzheimer","SSRI, Psikoterapi",Bunuh Diri
Kanker Kolorektal,FALSE,"Kanker Payudara, Demam Berdarah, Artritis Reumatoid","Operasi, Kemoterapi",Metastasis ke Liver
Demam Berdarah,TRUE,"Hepatitis B, Pneumonia","Rehidrasi, Paracetamol",Syok Dengue
Serangan Jantung,TRUE,"Epilepsi, Hipertensi, Bronkitis","Aspirin, Nitrat",Gagal Jantung
Hipertensi,FALSE,"Kanker Prostat, Pneumonia, Parkinson","Amlodipine, Captopril","Stroke, Serangan Jantung"
Gastritis,TRUE,"Hepatitis C, COVID-19, Osteoporosis","Antasida, Omeprazole",Ulkus Lambung
Kanker Payudara,FALSE,Tifus,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Gagal Ginjal,TRUE,"Tifus, Osteoporosis, COVID-19","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Tuberkulosis,TRUE,"Rubella, Parkinson, Kanker Paru-paru","Rifampisin, Isoniazid",Gagal Paru
Tuberkulosis,FALSE,Osteoporosis,"Rifampisin, Isoniazid",Gagal Paru
Anemia,TRUE,"Pneumonia, Kanker Kolorektal","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Gagal Ginjal,TRUE,"Epilepsi, Tifus","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Prostat,TRUE,"Malaria, Osteoporosis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Kanker Prostat,FALSE,"Stroke, Influenza","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Diare Akut,TRUE,"Diabetes Mellitus, Bronkitis","Oralit, Loperamide",Dehidrasi Parah
Rubella,TRUE,"Bronkitis, Malaria","Vaksinasi, Istirahat",Cacat Janin
Rubella,TRUE,Tifus,"Vaksinasi, Istirahat",Cacat Janin
Kanker Paru-paru,TRUE,Diare Akut,"Kemoterapi, Radioterapi",Metastasis ke Otak
Alzheimer,TRUE,Migraine,"Donepezil, Memantine",Demensia Berat
Bronkitis,TRUE,"Artritis Reumatoid, Bronkitis","Dextromethorphan, Amoksisilin",Pneumonia
Alzheimer,FALSE,"Serangan Jantung, Asma","Donepezil, Memantine",Demensia Berat
Migraine,FALSE,Diare Akut,"Sumatriptan, Parasetamol",Gangguan Tidur
Hemofilia,FALSE,Malaria,Transfusi Faktor VIII,Pendarahan Internal
Migraine,FALSE,"Skizofrenia, COVID-19","Sumatriptan, Parasetamol",Gangguan Tidur
Bipolar,FALSE,"Epilepsi, Alzheimer","Lithium, Antidepresan",Depresi Kronis
Osteoporosis,TRUE,Gastritis,"Kalsium, Vitamin D",Fraktur Tulang
Hemofilia,FALSE,Migraine,Transfusi Faktor VIII,Pendarahan Internal
Alzheimer,TRUE,Diabetes Mellitus,"Donepezil, Memantine",Demensia Berat
Kanker Kolorektal,FALSE,"Malaria, Alzheimer, Migraine","Operasi, Kemoterapi",Metastasis ke Liver
Hepatitis B,FALSE,"Depresi Mayor, Hepatitis C, Influenza","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
COVID-19,FALSE,"Hepatitis C, COVID-19","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bipolar,TRUE,"Serangan Jantung, Epilepsi, Diare Akut","Lithium, Antidepresan",Depresi Kronis
Diabetes Mellitus,FALSE,"Hipertensi, COVID-19, Kanker Prostat","Insulin, Metformin","Gagal Ginjal, Neuropati"
Diare Akut,TRUE,Artritis Reumatoid,"Oralit, Loperamide",Dehidrasi Parah
Tifus,TRUE,"Serangan Jantung, Hepatitis C, Hemofilia","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Diare Akut,FALSE,"Influenza, Pneumonia, Hepatitis B","Oralit, Loperamide",Dehidrasi Parah
Kanker Kolorektal,TRUE,"Stroke, Campak, Anemia","Operasi, Kemoterapi",Metastasis ke Liver
COVID-19,FALSE,"Rubella, Artritis Reumatoid, Hipertensi","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Osteoporosis,FALSE,"Epilepsi, Hemofilia, Kanker Prostat","Kalsium, Vitamin D",Fraktur Tulang
Cacar Air,FALSE,"Gastritis, Bronkitis, Alzheimer","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tifus,TRUE,Pneumonia,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Stroke,FALSE,Campak,"Antikoagulan, Rehabilitasi",Kelumpuhan
Tuberkulosis,TRUE,"Gastritis, Serangan Jantung, Bronkitis","Rifampisin, Isoniazid",Gagal Paru
Cacar Air,TRUE,"Demam Berdarah, Epilepsi, Bronkitis","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Demam Berdarah,FALSE,"Skizofrenia, Malaria, Hepatitis B","Rehidrasi, Paracetamol",Syok Dengue
Malaria,TRUE,Hepatitis B,"Klorokuin, Artemisinin",Anemia Berat
Kanker Payudara,TRUE,"Skizofrenia, Parkinson","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hemofilia,TRUE,"Pneumonia, Anemia, Artritis Reumatoid",Transfusi Faktor VIII,Pendarahan Internal
Demam Berdarah,TRUE,"Diabetes Mellitus, Hipertensi","Rehidrasi, Paracetamol",Syok Dengue
Malaria,TRUE,Kanker Payudara,"Klorokuin, Artemisinin",Anemia Berat
Tifus,FALSE,"Migraine, Tuberkulosis","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Skizofrenia,TRUE,"Influenza, Skizofrenia","Risperidone, Olanzapine",Disabilitas Sosial
Kanker Payudara,TRUE,"Skizofrenia, Campak, Hemofilia","Kemoterapi, Mastektomi",Metastasis ke Tulang
Malaria,TRUE,Hemofilia,"Klorokuin, Artemisinin",Anemia Berat
Pneumonia,FALSE,"Cacar Air, Hepatitis C, Parkinson","Azitromisin, Ceftriaxone",Sepsis
Diare Akut,FALSE,Gagal Ginjal,"Oralit, Loperamide",Dehidrasi Parah
